FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,149,SOFTWARE MAINTENANCE AND LICENSING,16000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2103,BUREAU OF FINANCE AND ADMIN,5,SALARIES AND WAGES - ON PAYROLL,2998998.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,905,MSD USER CHARGES,13000000.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,30443.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,159,LEASE/PURCHASE EQUIPMENT,7100.00
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,140,PROFESSIONAL AND TECHNICAL SERVICES,3931854.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9981,LABORERS' FUND PENSION ALLOCATION,9722000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,45441914.00
GRANTS,0V54,TRANSIT SECURITY PROGRAM,57,CPD,2921,TRANSIT SECURITY,6,SALARY PROVISION,1036000.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,270,LOCAL TRANSPORTATION,8579.00
LOCAL,0610,MIDWAY AIRPORT FUND,35,DPS,2005,PROCUREMENT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,4623.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,91,UNIFORM ALLOWANCE,65000.00
GRANTS,0V40,CONSERVATION INNOVATION PROGRAM,54,PLANNING AND DEVELOPMENT,2884,Conservation Innovation,140,PROFESSIONAL AND TECHNICAL SERVICES,814088.00
LOCAL,0200,WATER FUND,67,BUILDINGS,2005,BUILDINGS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,17000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,229,TRANSPORTATION AND EXPENSE ALLOWANCE,214.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,160,REPAIR/MAINT PROPERTY,1406800.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,245,REIMBURSEMENT TO TRAVELERS,6143.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,348,BOOKS AND RELATED MATERIAL,1930.00
LOCAL,0200,WATER FUND,33,DHR,2005,HUMAN RESOURCES,140,PROFESSIONAL AND TECHNICAL SERVICES,3808.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,190,TELEPHONE - NON-CENTREX BILLINGS,14300.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,9651,REIMB - INDIRECT COSTS,1566322.00
GRANTS,0Z66,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,1021657.00
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,166,DUES  SUBSC & MEM,2435.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,340,MATERIAL AND SUPPLIES,25750.00
GRANTS,0168,WINTER SHELTER HMLS,50,DFSS,2822,SERV TAX FD INVEST INCOME WARM,135,DELEGATE AGENCIES,15000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,140,PROFESSIONAL AND TECHNICAL SERVICES,18000.00
CDBG,0J45,CDBG,50,DFSS,2520,WORKFORCE SERVICES,135,DELEGATE AGENCIES,5468113.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,189,TELEPHONE - NON-CENTREX BILLINGS,23800.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,159,LEASE/PURCHASE EQUIPMENT,41107.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,149,SOFTWARE MAINTENANCE AND LICENSING,58228.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,138,IT MAINTENANCE,2111500.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,166,DUES  SUBSC & MEM,5475.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,39,STUDENT AS TRAINEES,20000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,245,REIMBURSEMENT TO TRAVELERS,3788.00
GRANTS,0Z79,VIOLENCE AGAINST WOMEN ACT - DOMESTIC,57,CPD,2844,VIOLENCE AGAINST WOMEN - DVP,44,FRINGE BENEFITS,29237.00
GRANTS,0Z40,WORK INCENTIVE PLANNNING,48,MOPD,2812,WORK INCENTIVE PLANNING,5,SALARIES AND WAGES - ON PAYROLL,138298.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,20,OVERTIME,1200000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,402,TOOLS > $100 UNIT,35000.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,245,REIMBURSEMENT TO TRAVELERS,306.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,162,REPAIR/MAINT EQUIPMENT,718064.00
CDBG,0J45,CDBG,50,DFSS,2530,Domestic Violence Services,135,DELEGATE AGENCIES,2055590.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,190,TELEPHONE - NON-CENTREX BILLINGS,330.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,150,PUBLICATN & REPRODT-OUT,100.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,38000.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,278870.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,159,LEASE/PURCHASE EQUIPMENT,1400.00
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,155,RENTAL OF PROPERTY,70000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,424,FURNITURE AND FURNISHINGS,50000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9774,TRANSFER FOR SERVICES - OEMC,325000.00
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,135,DELEGATE AGENCIES,13640350.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9255,HOMELESS SERVICES FOR YOUTH,1540979.00
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,9265,RPRP,5268806.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,12000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE - NON-CENTREX BILLINGS,24000.00
LOCAL,0B21,TIF ADMINISTRATION,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,546732.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,401,TOOL <= $100 UNIT,6000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,166,DUES  SUBSC & MEM,51300.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,162,REPAIR/MAINT EQUIPMENT,22406.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2505,EDUCATION  OUTREACH AND INTERG,15,SCHEDULE SALARY ADJUSTMENTS,2247.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,24,COMPENSATORY TIME PAYMENT,16435725.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,348,BOOKS AND RELATED MATERIAL,100.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,350,STATIONERY AND OFFICE SUPPLIES,4230.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,197,TELEPHONE - MAINTENANCE,1310.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,275050.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,15013.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,340,MATERIAL AND SUPPLIES,72474.00
GRANTS,0Y26,ELDER ABUSE AND NEGLECT,50,DFSS,2846,ELDER ABUSE AND NEGLECT,801,INDIRECT COSTS,8095.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,70,TUITION REIMBURSEMENT,7500000.00
LOCAL,0383,MFT DEBT SERVICE,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,7421000.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,3316774.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,340,MATERIAL AND SUPPLIES,253425.00
LOCAL,0200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,15,SCHEDULE SALARY ADJUSTMENTS,6625.00
GRANTS,0V86,LOCAL LAW ENFORCEMENT CRIME GUN INTEL,57,CPD,280R,Gun Intelligence Integration,445,TECHNICAL AND SCIENTIFIC EQUIPMENT,454000.00
LOCAL,0310,MOTOR FUEL TAX FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,332,ELECTRICITY - STREET LIGHTING,14197447.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,44,FRINGE BENEFITS,641136.00
GRANTS,0U08,AIR POLLUTION CONTROL PROGRAM,41,HEALTH,2714,AIR POLLUTION CONTROL PROGRAM,44,FRINGE BENEFITS,285175.00
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,350,STATIONERY AND OFFICE SUPPLIES,12500.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,157,RENTAL EQUIPMENT AND SERVICES,1201.00
LOCAL,0B21,TIF ADMINISTRATION,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJUSTMENTS,2000.00
LOCAL,0B21,TIF ADMINISTRATION,28,TREASURER,2005,CITY TREASURER,139,IT DEVELOPMENT,10000.00
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,44,FRINGE BENEFITS,1790342.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,152,ADVERTISING,41045.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,100,CONTRACTUAL SERVICES,20000.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,9651,REIMB - INDIRECT COSTS,158554.00
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,68590.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,15,SCHEDULE SALARY ADJUSTMENTS,74769.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,40000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,130,POSTAGE,110000.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,1500.00
LOCAL,0300,VEHICLE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,350,STATIONERY AND OFFICE SUPPLIES,500.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,5,SALARIES AND WAGES - ON PAYROLL,6465606.00
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,166,DUES  SUBSC & MEM,208001.00
LOCAL,0200,WATER FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,20,OVERTIME,1000.00
LOCAL,0100,CORPORATE FUND,55,POLICE BOARD,2005,POLICE BOARD,5,SALARIES AND WAGES - ON PAYROLL,177432.00
GRANTS,0Y48,EARLY HEAD START - CHILD CARE PARTNERSHI,50,DFSS,2956,EHS - Child Care Partnership,5,SALARIES AND WAGES - ON PAYROLL,657374.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,7028929.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,348,BOOKS AND RELATED MATERIAL,472.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,245,REIMBURSEMENT TO TRAVELERS,171000.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,7750.00
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,9110,PROPERT MANAGEMENT MAIN,50000.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,350,STATIONERY AND OFFICE SUPPLIES,56700.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,12,CONTRACT WAGE - PREVAILING RATE,120933.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,140,PROFESSIONAL AND TECHNICAL SERVICES,2800000.00
GRANTS,0T79,HEAD START,50,DFSS,2860,HEAD START,135,DELEGATE AGENCIES,81000000.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,20,OVERTIME,20000.00
GRANTS,0X27,TUBERCULOSIS CONTROL,41,HEALTH,2824,TUBERCULOSIS CONTROL,5,SALARIES AND WAGES - ON PAYROLL,556847.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,143,COURT REPORTING,53160.00
CDBG,0J45,CDBG,50,DFSS,2515,HOMELESS SERVICES,44,FRINGE BENEFITS,329196.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,143,COURT REPORTING,23220.00
GRANTS,0W01,CTA INFRASTRUCTURE IMPROVEMENT,84,CDOT,2996,CTA Infrastructure Improvement,140,PROFESSIONAL AND TECHNICAL SERVICES,1700000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,159,LEASE/PURCHASE EQUIPMENT,83448.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,5,SALARIES AND WAGES - ON PAYROLL,23568232.00
GRANTS,0Z46,NEA - OUR TOWN PROGRAM - MATCH,23,DCASE,2872,NEA - Our Town Program,140,PROFESSIONAL AND TECHNICAL SERVICES,50000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,3,SCHEDULED WAGE ADJUSTMENTS,1762845.00
GRANTS,0X60,BIOTERRORISM HOSPITAL PREPAREDNESS PROGR,41,HEALTH,2883,BIOTERRORISM HOSPITAL PREP,140,PROFESSIONAL AND TECHNICAL SERVICES,3276110.00
GRANTS,0V87,PORT SECURITY GRANT,57,CPD,280N,Port Security,340,MATERIAL AND SUPPLIES,243000.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,5,SALARIES AND WAGES - ON PAYROLL,454951359.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,162,REPAIR/MAINT EQUIPMENT,15000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,149,SOFTWARE MAINTENANCE AND LICENSING,7833.00
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,44,FRINGE BENEFITS,73050.00
GRANTS,0V19,EDWARD BYRNE MEMORIAL JAG,57,CPD,2996,Edward Byrne Memorial JAG,140,PROFESSIONAL AND TECHNICAL SERVICES,2202000.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,214000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9097,FOR CAPITAL CONSTRUCTION,76791755.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,162,REPAIR/MAINT EQUIPMENT,191.00
LOCAL,0314,SEWER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,340,MATERIAL AND SUPPLIES,4282000.00
LOCAL,0346,LIBRARY FUND,38,FFM,2140,FLEET OPERATIONS,176,MAINTENANCE AND OPERATION - VEHICLES,28185.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,350,STATIONERY AND OFFICE SUPPLIES,31000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,22,DUTY AVAILABILITY,40250000.00
GRANTS,0X63,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,6,SALARY PROVISION,522585.00
GRANTS,0W85,AFRICAN AMERICAN CIVIL RIGHTS PRESERVATN,54,PLANNING AND DEVELOPMENT,2888,African American Civil Rights,140,PROFESSIONAL AND TECHNICAL SERVICES,446000.00
LOCAL,0740,O HARE REVENUE FUND,59,CFD,2005,Chicago Fire Department,61,DRIVER'S DIFFERENTIAL,250000.00
GRANTS,0U22,HOUSING OPPORTUNITIES - AIDS,41,HEALTH,2932,HOPWA,50,STIPENDS,3154.00
LOCAL,0346,LIBRARY FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,300000.00
GRANTS,0T89,MEDICARE IMPROVEMENTS ACT,50,DFSS,2937,MEDICARE IMPROVEMENTS,801,INDIRECT COSTS,2850.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,178,FREIGHT AND EXPRESS CHARGES,8504.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,162,REPAIR/MAINT EQUIPMENT,4000.00
GRANTS,0T78,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,155,RENTAL OF PROPERTY,20000.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,270,LOCAL TRANSPORTATION,2560.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,4498.00
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,135,DELEGATE AGENCIES,2678114.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,245,REIMBURSEMENT TO TRAVELERS,7989.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,959,BOND FEES AND COSTS,5924081.00
GRANTS,0T79,HEAD START,50,DFSS,2860,HEAD START,270,LOCAL TRANSPORTATION,5000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,138,IT MAINTENANCE,6000.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,20500.00
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,190,TELEPHONE - NON-CENTREX BILLINGS,26863.00
GRANTS,0Z01,SMART GRID,1,MAYOR,2804,Smart Grid / Energy Efficiency,5,SALARIES AND WAGES - ON PAYROLL,66960.00
LOCAL,0300,VEHICLE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,140,PROFESSIONAL AND TECHNICAL SERVICES,108000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,166,DUES  SUBSC & MEM,400.00
CDBG,0J45,CDBG,21,HOUSING,2558,Emergency Repair,5,SALARIES AND WAGES - ON PAYROLL,785880.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,20,OVERTIME,945817.00
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,340,MATERIAL AND SUPPLIES,10500.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,350,STATIONERY AND OFFICE SUPPLIES,12045.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,178,FREIGHT AND EXPRESS CHARGES,500.00
GRANTS,0U52,BUILDING EPIDEMIOLOGY AND HEALTH IT CAPA,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,5,SALARIES AND WAGES - ON PAYROLL,1118775.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,14062.00
LOCAL,0740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,610.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,11116162.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,1464770.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,270,LOCAL TRANSPORTATION,420.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9253,EARLY CHILDHOOD EDUCATION PROGRAM,15075000.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,190,TELEPHONE - NON-CENTREX BILLINGS,1650.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,153,PROMOTIONS,12000.00
CDBG,0J45,CDBG,50,DFSS,2510,HUMAN SERVICES,44,FRINGE BENEFITS,31957.00
GRANTS,0X61,BIOTERRORISM PREPAREDNESS RESPONSE PLANN,6,DOIT,2829,Bioterrorism Response Planning,15,SCHEDULE SALARY ADJUSTMENTS,1770.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,1098177.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,190,TELEPHONE - NON-CENTREX BILLINGS,45200.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,245,REIMBURSEMENT TO TRAVELERS,3550.00
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,5,SALARIES AND WAGES - ON PAYROLL,13627019.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,9813,LOCAL PROMOTION/MARKETG,853720.00
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,REIMB - PENSION PAYMENTS,1379000.00
GRANTS,0Z70,PAUL COVERDELL FORENSIC SCIENCE IMPROVMT,57,CPD,280A,Coverdell Forensic Science,140,PROFESSIONAL AND TECHNICAL SERVICES,250000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,154,RENTAL-DATA HARDWARE EQ,10000.00
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJUSTMENTS,279.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2505,EDUCATION  OUTREACH AND INTERG,159,LEASE/PURCHASE EQUIPMENT,1600.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2140,FLEET OPERATIONS,338,LICENSE STICKER TAG AND PLATES,10200.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,885.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,159,LEASE/PURCHASE EQUIPMENT,160583.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,130,POSTAGE,490.00
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,319,CLOTHING,2500.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,150,PUBLICATN & REPRODT-OUT,10452.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,9188,MILLENNIUM PARK OPERATIONS,8308160.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,100.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,45000.00
LOCAL,0200,WATER FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,125,OFFICE AND BUILDING SERVICES,239361.00
GRANTS,0V24,HOME PROGRAM,21,HOUSING,2833,Home Investment Partnership,9103,REHABILITATION LOANS GT,13388000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,5849271.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,245,REIMBURSEMENT TO TRAVELERS,3000.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,5,SALARIES AND WAGES - ON PAYROLL,2646228.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,348,BOOKS AND RELATED MATERIAL,1600.00
